BAG_NAME, MAP_NAME, BEGIN, END, VERSION
2020-01-13-09-35-05, feature=firebird&ver=2020011600&base_pt=(32.75707,-111.55757)&end_pt=(32.092537,-110.7892506), 02:10:20, 02:14:50, R20200120234009
2019-12-17-13-24-03, feature=base&ver=2019121700&base_pt=(32.75707,-111.55757)&end_pt=(32.092537212,-110.7892506), 0:13:00, 0:43:00, None
